 

stn;time;sremaxdv
SAE;20231115;0
SAE;20231116;11
SAE;20231117;0
SAE;20231118;19
SAE;20231119;0
SAE;20231120;23
SAE;20231121;1
SAE;20231122;25
SAE;20231123;99
SAE;20231124;0
SAE;20231125;0
SAE;20231126;0
SAE;20231127;0
SAE;20231128;0
SAE;20231129;41
SAE;20231130;0
SAE;20231201;0
SAE;20231202;0
SAE;20231203;38
SAE;20231204;31
SAE;20231205;9
SAE;20231206;0
SAE;20231207;94
SAE;20231208;0
SAE;20231209;21
SAE;20231210;0
SAE;20231211;0
SAE;20231212;0
SAE;20231213;0
SAE;20231214;0
SAE;20231215;0
SAE;20231216;58
SAE;20231217;99
SAE;20231218;98
SAE;20231219;100
SAE;20231220;0
SAE;20231221;0
SAE;20231222;0
SAE;20231223;15
SAE;20231224;34
SAE;20231225;75
SAE;20231226;36
SAE;20231227;87
SAE;20231228;6
SAE;20231229;8
SAE;20231230;83
SAE;20231231;14
