 

stn;time;su2000d0
SAE;20230923;0.9
SAE;20230924;7.3
SAE;20230925;11.7
SAE;20230926;11.7
SAE;20230927;11.4
SAE;20230928;8.7
SAE;20230929;9.1
SAE;20230930;3.5
SAE;20231001;11.2
SAE;20231002;11.5
SAE;20231003;7.9
SAE;20231004;6.7
SAE;20231005;5.4
SAE;20231006;9.6
SAE;20231007;7.7
SAE;20231008;10.4
SAE;20231009;5.6
SAE;20231010;9.2
SAE;20231011;10.8
SAE;20231012;7.0
SAE;20231013;10.5
SAE;20231014;0.9
SAE;20231015;0.0
SAE;20231016;8.4
SAE;20231017;7.6
SAE;20231018;2.4
SAE;20231019;3.7
SAE;20231020;0.0
SAE;20231021;0.0
SAE;20231022;6.6
SAE;20231023;3.8
SAE;20231024;0.0
SAE;20231025;3.7
SAE;20231026;0.3
SAE;20231027;0.0
SAE;20231028;6.1
SAE;20231029;2.0
SAE;20231030;0.9
SAE;20231031;0.0
SAE;20231101;2.9
SAE;20231102;0.1
SAE;20231103;0.0
SAE;20231104;3.2
SAE;20231105;0.0
SAE;20231106;6.6
SAE;20231107;2.5
SAE;20231108;7.5
SAE;20231109;1.0
SAE;20231110;0.0
SAE;20231111;0.0
SAE;20231112;0.0
SAE;20231113;0.0
SAE;20231114;0.0
SAE;20231115;0.0
SAE;20231116;1.0
SAE;20231117;0.0
SAE;20231118;1.7
SAE;20231119;0.0
SAE;20231120;2.1
SAE;20231121;0.1
SAE;20231122;2.2
SAE;20231123;8.8
SAE;20231124;0.0
SAE;20231125;0.0
SAE;20231126;0.0
SAE;20231127;0.0
SAE;20231128;0.0
SAE;20231129;3.5
SAE;20231130;0.0
SAE;20231201;0.0
SAE;20231202;0.0
SAE;20231203;3.2
SAE;20231204;2.6
SAE;20231205;0.8
SAE;20231206;0.0
SAE;20231207;7.9
SAE;20231208;0.0
SAE;20231209;1.7
SAE;20231210;0.0
SAE;20231211;0.0
SAE;20231212;0.0
SAE;20231213;0.0
SAE;20231214;0.0
SAE;20231215;0.0
SAE;20231216;4.8
SAE;20231217;8.2
SAE;20231218;8.1
SAE;20231219;8.3
SAE;20231220;0.0
SAE;20231221;0.0
SAE;20231222;0.0
SAE;20231223;1.3
SAE;20231224;2.8
SAE;20231225;6.3
SAE;20231226;3.0
SAE;20231227;7.2
SAE;20231228;0.5
SAE;20231229;0.7
SAE;20231230;6.9
SAE;20231231;1.2
