 

stn;time;rre150h0
SAE;2023010100;0.0
SAE;2023010101;0.0
SAE;2023010102;0.0
SAE;2023010103;0.0
SAE;2023010104;0.0
SAE;2023010105;0.0
SAE;2023010106;0.0
SAE;2023010107;0.0
SAE;2023010108;0.0
SAE;2023010109;0.0
SAE;2023010110;0.0
SAE;2023010111;0.0
SAE;2023010112;0.0
SAE;2023010113;0.0
SAE;2023010114;0.0
SAE;2023010115;0.0
SAE;2023010116;0.0
SAE;2023010117;0.0
SAE;2023010118;0.0
SAE;2023010119;0.0
SAE;2023010120;0.0
SAE;2023010121;0.0
SAE;2023010122;0.0
SAE;2023010123;0.0
SAE;2023010200;0.0
SAE;2023010201;0.0
SAE;2023010202;0.0
SAE;2023010203;0.0
SAE;2023010204;0.0
SAE;2023010205;0.0
SAE;2023010206;0.0
SAE;2023010207;0.0
SAE;2023010208;0.0
SAE;2023010209;0.0
SAE;2023010210;0.0
SAE;2023010211;0.0
SAE;2023010212;0.0
SAE;2023010213;0.0
SAE;2023010214;0.0
SAE;2023010215;0.0
SAE;2023010216;0.0
SAE;2023010217;0.0
SAE;2023010218;0.0
SAE;2023010219;0.0
SAE;2023010220;0.0
SAE;2023010221;0.0
SAE;2023010222;0.0
SAE;2023010223;0.0
SAE;2023010300;0.0
SAE;2023010301;0.0
SAE;2023010302;0.0
SAE;2023010303;0.0
SAE;2023010304;0.0
SAE;2023010305;0.0
SAE;2023010306;0.0
SAE;2023010307;0.1
SAE;2023010308;0.2
SAE;2023010309;0.0
SAE;2023010310;0.3
SAE;2023010311;0.1
SAE;2023010312;0.4
SAE;2023010313;1.2
SAE;2023010314;1.4
SAE;2023010315;1.1
SAE;2023010316;0.9
SAE;2023010317;0.0
SAE;2023010318;0.0
SAE;2023010319;0.0
SAE;2023010320;0.0
SAE;2023010321;0.0
SAE;2023010322;0.0
SAE;2023010323;0.0
SAE;2023010400;0.0
SAE;2023010401;0.0
SAE;2023010402;0.0
SAE;2023010403;0.0
SAE;2023010404;0.0
SAE;2023010405;0.0
SAE;2023010406;0.0
SAE;2023010407;0.0
SAE;2023010408;0.0
SAE;2023010409;0.0
SAE;2023010410;0.0
SAE;2023010411;0.0
SAE;2023010412;0.0
SAE;2023010413;0.0
SAE;2023010414;0.0
SAE;2023010415;0.0
SAE;2023010416;0.0
SAE;2023010417;0.0
SAE;2023010418;0.3
SAE;2023010419;0.4
SAE;2023010420;0.0
SAE;2023010421;0.0
SAE;2023010422;0.0
SAE;2023010423;0.5
SAE;2023010500;0.9
SAE;2023010501;0.5
SAE;2023010502;0.0
SAE;2023010503;0.2
SAE;2023010504;1.7
SAE;2023010505;2.6
SAE;2023010506;2.0
SAE;2023010507;1.7
SAE;2023010508;1.2
SAE;2023010509;0.4
SAE;2023010510;1.0
SAE;2023010511;1.2
SAE;2023010512;0.3
SAE;2023010513;0.0
SAE;2023010514;0.0
SAE;2023010515;0.0
SAE;2023010516;0.0
SAE;2023010517;0.0
SAE;2023010518;0.0
SAE;2023010519;0.0
SAE;2023010520;0.0
SAE;2023010521;0.0
SAE;2023010522;0.0
SAE;2023010523;0.0
SAE;2023010600;0.0
SAE;2023010601;0.0
SAE;2023010602;0.0
SAE;2023010603;0.0
SAE;2023010604;0.0
SAE;2023010605;0.0
SAE;2023010606;0.0
SAE;2023010607;0.0
SAE;2023010608;0.0
SAE;2023010609;0.0
SAE;2023010610;0.0
SAE;2023010611;0.0
SAE;2023010612;0.0
SAE;2023010613;0.0
SAE;2023010614;0.0
SAE;2023010615;0.0
SAE;2023010616;0.0
SAE;2023010617;0.0
SAE;2023010618;0.0
SAE;2023010619;0.0
SAE;2023010620;0.0
SAE;2023010621;0.0
SAE;2023010622;0.0
SAE;2023010623;0.0
SAE;2023010700;0.0
SAE;2023010701;0.0
SAE;2023010702;0.0
SAE;2023010703;0.0
SAE;2023010704;0.0
SAE;2023010705;0.0
SAE;2023010706;0.0
SAE;2023010707;0.0
SAE;2023010708;0.0
SAE;2023010709;0.0
SAE;2023010710;0.0
SAE;2023010711;0.0
SAE;2023010712;0.0
SAE;2023010713;0.0
SAE;2023010714;0.0
SAE;2023010715;0.0
SAE;2023010716;0.0
SAE;2023010717;0.0
SAE;2023010718;0.0
SAE;2023010719;0.0
SAE;2023010720;0.0
SAE;2023010721;0.0
SAE;2023010722;0.0
SAE;2023010723;0.0
SAE;2023010800;0.0
SAE;2023010801;0.0
SAE;2023010802;0.0
SAE;2023010803;0.0
SAE;2023010804;0.0
SAE;2023010805;0.0
SAE;2023010806;0.0
